id,abn,name,effectiveDateFrom,effectiveDateTo
urn:lobbyists.ag.gov.au:27630291348,27630291348,Haztech Environmental ,2019-11-01,
urn:lobbyists.ag.gov.au:39099239175,39099239175,CHAP AirTech Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:14007098295,14007098295,Starfare Image Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:73130740546,73130740546,CMAX Communications Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:37108802366,37108802366,Purple Communications Australia Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:89096965794,89096965794,opr Agency,2019-11-01,
urn:lobbyists.ag.gov.au:36617864347,36617864347,Primary Communication Partners,2019-11-01,
urn:lobbyists.ag.gov.au:48074671462,48074671462,Essential Media Communications,2019-11-01,
urn:lobbyists.ag.gov.au:93634947050,93634947050,Beckington Group,2019-11-01,
urn:lobbyists.ag.gov.au:59344821734,59344821734,Ranicar and Nicholls Consulting,2019-11-01,
urn:lobbyists.ag.gov.au:38162366056,38162366056,Newgate Communications Pty Limited,2019-11-01,
urn:lobbyists.ag.gov.au:35631919009,35631919009,Counsel House Pty Ltd,2019-11-01,
