lobbyist_id,relation,client_id,effectiveFromDate,effectiveToDate
urn:lobbyists.ag.gov.au:66099386786,represents,urn:abr.business.gov.au:66169130054,2019-11-01,
urn:lobbyists.ag.gov.au:50082123822,represents,urn:abr.business.gov.au:51600546512,2019-11-01,
urn:lobbyists.ag.gov.au:56131702755,represents,urn:abr.business.gov.au:48613671819,2019-11-01,
urn:lobbyists.ag.gov.au:63272133108,represents,urn:abr.business.gov.au:64131962439,2019-11-01,
urn:lobbyists.ag.gov.au:89096965794,represents,urn:abr.business.gov.au:81557114620,2019-11-01,
urn:lobbyists.ag.gov.au:45517839200,represents,urn:abr.business.gov.au:64131962439,2019-11-01,
urn:lobbyists.ag.gov.au:71595434578,represents,urn:abr.business.gov.au:86620466248,2019-11-01,
urn:lobbyists.ag.gov.au:81634747363,represents,urn:abr.business.gov.au:90155706086,2019-11-01,
urn:lobbyists.ag.gov.au:92715851492,represents,urn:abr.business.gov.au:88157779774,2019-11-01,
urn:lobbyists.ag.gov.au:63272133108,represents,urn:abr.business.gov.au:91007660317,2019-11-01,
urn:lobbyists.ag.gov.au:92715851492,represents,urn:abr.business.gov.au:21610882436,2019-11-01,
urn:lobbyists.ag.gov.au:71595434578,represents,urn:abr.business.gov.au:73004700485,2019-11-01,
urn:lobbyists.ag.gov.au:32609795476,represents,urn:abr.business.gov.au:47059108922,2019-11-01,
urn:lobbyists.ag.gov.au:91631938317,represents,urn:abr.business.gov.au:13619136748,2019-11-01,
urn:lobbyists.ag.gov.au:86231566780,represents,urn:abr.business.gov.au:73008743217,2019-11-01,
urn:lobbyists.ag.gov.au:36617864347,represents,urn:abr.business.gov.au:31131555612,2019-11-01,
urn:lobbyists.ag.gov.au:86231566780,represents,urn:abr.business.gov.au:33603224728,2019-11-01,
urn:lobbyists.ag.gov.au:69284760614,represents,urn:abr.business.gov.au:31107531822,2019-11-01,
