internationalCode,currency,asxCode,name,alternativeName,acn,abn,website,imageURL,marketCap2021-02-11,effectiveFromDate,effectiveToDate
,,MMS,Mcmillan Shakespeare Ltd,,,,,,$1.04 B,,
-,,DUI,Diversified United Investment Ltd,,,,,,$1.03 B,,
-,,COF,Centuria Office REIT,,,,,,$1.02 B,,
-,,DBI,Dalrymple Bay Infrastructure Ltd,,,,,,$1.02 B,,
,,SIQ,Smartgroup Corporation Ltd,,,,,,$1.02 B,,
,,PRN,Perenti Global Ltd,,,,,,$1.01 B,,
,,NHC,New Hope Corporation Ltd,,,,,,$1 B,,
-,,HGH,Heartland Group Holdings Ltd,,,,,,$997.65 M,,
,,PLL,Piedmont Lithium Ltd,,,,,,$997.49 M,,
,,PSI,PSC Insurance Group Ltd,,,,,,$993.74 M,,
,,HBRD,Betashares Active Australian Hybrids Fund (Managed Fund),,,,,,$991.65 M,,
,,IEM,Ishares MSCI Emerging Markets ETF,,,,,,$976.71 M,,
,,GWA,GWA Group Ltd,,,,,,$972.24 M,,
,,LEP,Ale Property Group,,,,,,$969.27 M,,
,,OBL,Omni Bridgeway Ltd,,,,,,$962.2 M,,
,,SPL,Starpharma Holdings Ltd,,,,,,$958.25 M,,
,,NVX,Novonix Ltd,,,,,,$956.39 M,,
,,CCX,City Chic Collective Ltd,,,,,,$951.24 M,,
,,DTL,Data#3 Ltd,,,,,,$948.49 M,,
,,RMC,Resimac Group Ltd,,,,,,$941.93 M,,
,,OCA,Oceania Healthcare Ltd,,,,,,$939.51 M,,
,,JIN,Jumbo Interactive Ltd,,,,,,$936.73 M,,
,,IDX,Integral Diagnostics Ltd,,,,,,$929.19 M,,
,,OML,Ooh!Media Ltd,,,,,,$929.11 M,,
,,PGH,Pact Group Holdings Ltd,,,,,,$918.46 M,,
,,NCK,Nick Scali Ltd,,,,,,$907.2 M,,
,,MHH,Magellan High Conviction Trust,,,,,,$905.69 M,,
,,ASB,Austal Ltd,,,,,,$898.9 M,,
,,BRN,Brainchip Holdings Ltd,,,,,,$896.36 M,,
-,,BGP,Briscoe Group Australasia Ltd,,,,,,$893.32 M,,
,,SFR,Sandfire Resources Ltd,,,,,,$891.26 M,,
,,VG1,Vgi Partners Global Investments Ltd,,,,,,$890.99 M,,
,,SM1,Synlait Milk Ltd,,,,,,$880.88 M,,
,,IAA,Ishares Asia 50 ETF,,,,,,$868.55 M,,
,,NBI,NB Global Corporate Income Trust,,,,,,$849.59 M,,
,,FAIR,Betashares Australian Sustainability Leaders ETF,,,,,,$848.38 M,,
,,WGX,Westgold Resources Ltd,,,,,,$847.71 M,,
,,RFF,Rural Funds Group,,,,,,$845.14 M,,
,,KMD,Kathmandu Holdings Ltd,,,,,,$836.62 M,,
,,BGL,Bellevue Gold Ltd,,,,,,$834.17 M,,
-,,FNP,Freedom Foods Group Ltd,,,,,,$834.1 M,,
,,HSN,Hansen Technologies Ltd,,,,,,$832.98 M,,
,,IXJ,Ishares Global Healthcare ETF,,,,,,$818.16 M,,
,,AFG,Australian Finance Group Ltd,,,,,,$810.51 M,,
,,AKP,Audio Pixels Holdings Ltd,,,,,,$805 M,,
,,LTR,Liontown Resources Ltd,,,,,,$804.63 M,,
,,IHVV,Ishares S&P 500 Aud Hedged ETF,,,,,,$802.94 M,,
-,,KKC,KKR Credit Income Fund,,,,,,$799.2 M,,
,,AEF,Australian Ethical Investment Ltd,,,,,,$797.95 M,,
